Номера заказа,,Дата сделки,Вид операции,Вид возврата / обмена,Лид,АК,Тип,Классификация направлений,Price,CPA,"CPA, руб."
40846011,11-09-2025,REFUND,В,d1,В2,Чартер,OW,"-64,608.00",0.04,"-2,584.32",
40852946,19-09-2025,REFUND,В,d1,MU,Регулярка,OW,"-107,540.00",0.045,"-4,839.30",
40852946,19-09-2025,REFUND,В,d1,MU,Регулярка,OW,"-107,540.00",0.045,"-4,839.30",
40820482,10-09-2025,REFUND,В,d1,MU,Регулярка,RT,"-49,614.00",0.045,"-2,232.63",
40820482,10-09-2025,REFUND,В,d1,MU,Регулярка,RT,"-49,614.00",0.045,"-2,232.63",
40820482,10-09-2025,REFUND,В,d1,MU,Регулярка,RT,"-47,778.00",0.045,"-2,150.01",
40844527,30-09-2025,REFUND,В,d1,HU,Регулярка,RT,"-27,615.00",0.045,"-1,242.68",
40845990,26-09-2025,REFUND,В,d1,PC,Регулярка,OW,"-65,706.00",0.045,"-2,956.77",
40822458,09-09-2025,REFUND,В,d1,CZ,Регулярка,RT,"-65,451.00",0.045,"-2,945.30",
40822458,09-09-2025,REFUND,В,d1,CZ,Регулярка,RT,"-65,451.00",0.045,"-2,945.30",
40825879,23-09-2025,REFUND,В,d1,CZ,Регулярка,OW,"-56,848.00",0.045,"-2,558.16",
40825879,23-09-2025,REFUND,В,d1,CZ,Регулярка,OW,"-56,848.00",0.045,"-2,558.16",
40823318,06-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-28,695.00",0.025,-717.38,
40829994,08-09-2025,REFUND,В,d1,CZ,Регулярка,RT,"-50,299.00",0.045,"-2,263.46",
40829994,08-09-2025,REFUND,В,d1,CZ,Регулярка,RT,"-50,299.00",0.045,"-2,263.46",
40831176,09-09-2025,REFUND,В,d1,CZ,Регулярка,RT,"-50,290.00",0.045,"-2,263.05",
40851353,22-09-2025,REFUND,В,d1,3U,Регулярка,OW,"-49,120.00",0.045,"-2,210.40",
40837453,08-09-2025,REFUND,В,d1,ТК,Регулярка,OW,"-47,248.00",0.045,"-2,126.16",
