order_number,booked_at,click_id,state,price_amount,price_currency,profit_amount,profit_currency
40826569,2025-09-03T17:56:51.474Z,3165362936762650784,paid,77905,rub,3505.72,rub
40825809,2025-09-03T15:03:36.218Z,3165275734529762336,paid,2476,rub,111.42,rub
40826609,2025-09-03T18:02:10.003Z,3165365202875823552,paid,28556,rub,1142.24,rub
40823261,2025-09-03T04:41:05.848Z,3164959568743130528,cancelled,22227,rub,555.68,rub
40824323,2025-09-03T09:25:33.794Z,3165105922429763744,cancelled,1903,rub,47.58,rub
40827071,2025-09-03T19:38:18.328Z,3165414062477470720,cancelled,23659,rub,591.48,rub
40824964,2025-09-03T11:58:48.951Z,3165182442112368800,cancelled,34584,rub,0,rub
40826899,2025-09-03T18:55:23.113Z,3165389920616476608,cancelled,58232,rub,1455.8,rub
40826958,2025-09-03T19:06:19.136Z,3165398564128548416,cancelled,18982,rub,474.55,rub
40827193,2025-09-03T20:11:50.856Z,3165428616324501216,cancelled,7908,rub,197.7,rub
40824788,2025-09-03T11:09:43.137Z,3165157135634215616,paid,127234,rub,5725.53,rub
40827293,2025-09-03T20:55:43.720Z,3165452557359457216,cancelled,14938,rub,0,rub
40823176,2025-09-03T03:48:55.745Z,3164936375222980256,cancelled,14557,rub,363.93,rub
40825095,2025-09-03T12:26:40.225Z,3165192036634520576,cancelled,10480,rub,262,rub
40825801,2025-09-03T15:02:22.494Z,3165275775650718752,cancelled,1531,rub,38.28,rub
40826311,2025-09-03T17:01:28.827Z,3165320466453845344,cancelled,46000,rub,1150,rub
40823141,2025-09-03T03:25:32.475Z,3164925084534099616,cancelled,18982,rub,474.55,rub
40825216,2025-09-03T12:53:20.401Z,3165208471365224480,cancelled,10096,rub,252.4,rub
40824965,2025-09-03T11:58:55.143Z,3165183192370328256,paid,11590,rub,289.75,rub
40823020,2025-09-03T00:39:55.115Z,3164840078489770368,paid,36857,rub,1658.56,rub
40823479,2025-09-03T06:01:37.324Z,3165003429309930016,paid,46125,rub,1153.12,rub
